100,322,Fabricació de transmissors de radiodifusió i televisió, i d'aparells per a la radiotelefonia i radiotelegrafia amb fils,32
101,323,Fabricació d'aparells de recepció, enregistrament i reproducció de so i imatge,32
102,331,Fabricació d'equips i instruments medicoquirúrgics i d'aparells ortopèdics,33
103,332,Fabricació d'instruments i aparells de mesura, verificació, control, navegació i altres fins, excepte equips de control per a processos industrials,33
104,333,Fabricació d'equips de control per a processos industrials,33
105,334,Fabricació d'instruments d'òptica i d'equips fotogràfics,33
106,335,Fabricació de rellotges,33
107,341,Fabricació de vehicles de motor,34
108,342,Fabricació de carrosseries per a vehicles de motor, remolcs i semiremolcs,34
109,343,Fabricació de components, peces i accessoris no elèctrics per a vehicles de motor i els seus motors,34
110,351,Construcció i reparació naval,35
111,352,Fabricació de material ferroviari,35
112,353,Construcció aeronàutica i espacial,35
113,354,Fabricació de motocicletes i bicicletes,35
114,355,Fabricació d'altres materials de transport,35
115,361,Fabricació de mobles,36
116,362,Fabricació d'articles de joieria, orfebreria, argenteria i articles similars,36
117,363,Fabricació d'instruments musicals,36
118,364,Fabricació d'articles d'esport,36
119,365,Fabricació de jocs i joguines,36
120,366,Altres indústries manufactureres diverses,36
121,371,Reciclatge de ferralla i residus de metall,37
122,372,Reciclatge de residus no metàl·lics,37
123,401,Producció i distribució d'energia elèctrica,40
124,402,Producció de gas; distribució de combustibles gasosos per conductes urbans, excepte gasoductes,40
125,403,Producció i distribució de vapor i aigua calenta,40
126,410,Captació, potabilització i distribució d'aigua,41
127,451,Preparació d'obres,45
128,452,Construcció general d'immobles i obres d'enginyeria civil,45
129,453,Instal·lacions d'edificis i obres,45
130,454,Acabament d'edificis i obres,45
131,455,Lloguer d'equips de construcció o demolició amb operari,45
132,501,Venda de vehicles de motor,50
133,502,Manteniment i reparació de vehicles de motor,50
134,503,Venda de recanvis i accessoris de vehicles de motor,50
135,504,Venda, manteniment i reparació de motocicletes i ciclomotors, i dels seus recanvis i accessoris,50
136,505,Venda al detall de carburants per a l'automoció,50
137,511,Intermediaris del comerç,51
138,512,Comerç a l'engròs de primeres matèries agràries i d'animals vius,51
139,513,Comerç a l'engròs de productes alimentaris, begudes i tabac,51
140,514,Comerç a l'engròs de productes de consum, diferents dels alimentaris,51
141,515,Comerç a l'engròs de productes no agraris semielaborats, ferralla i productes de rebuig,51
142,516,Comerç a l'engròs de maquinària i equips,51
143,517,Altres tipus de comerç a l'engròs,51
144,521,Comerç al detall en establiments no especialitzats,52
145,522,Comerç al detall d'aliments, begudes i tabac en establiments especialitzats,52
146,523,Comerç al detall de productes farmacèutics, articles mèdics, bellesa i higiene,52
147,524,Altres tipus de comerç al detall d'articles nous en establiments especialitzats,52
148,525,Comerç al detall de béns de segona mà, en establiments,52
149,526,Comerç al detall fora d'establiments,52
150,527,Reparació d'efectes personals i efectes domèstics,52
151,551,Hotels,55
152,552,Càmpings i altres tipus d'allotjament de curta durada,55
153,553,Restaurants,55
154,554,Establiments de begudes,55
155,555,Menjadors col·lectius i provisió de menjars preparats,55
156,601,Transport per ferrocarril,60
157,602,Altres tipus de transport terrestre,60
158,603,Transport per canonada,60
159,611,Transport marítim,61
160,612,Transport per vies de navegació interiors,61
161,621,Transport aeri regular,62
162,622,Transport aeri discrecional,62
163,623,Transport espacial,62
164,631,Manipulació i dipòsit de mercaderies,63
165,632,Altres activitats afins al transport,63
166,633,Activitats de les agències de viatges, operadors turístics, i altres activitats d'ajut al sector turístic,63
167,634,Organització del transport de mercaderies,63
168,641,Activitats postals i de correus,64
169,642,Telecomunicacions,64
170,651,Mediació monetària,65
171,652,Altres tipus de mediació financera,65
172,660,Assegurances i plans de pensions, excepte la Seguretat Social obligatòria,66
173,671,Activitats auxiliars de la mediació financera, excepte assegurances i plans de pensions,67
174,672,Activitats auxiliars d'assegurances i plans de pensions,67
175,701,Activitats immobiliàries per compte propi,70
176,702,Lloguer de béns immobiliaris per compte propi,70
177,703,Activitats immobiliàries per compte d'altri,70
178,711,Lloguer d'automòbils,71
179,712,Lloguer d'altres mitjans de transport,71
180,713,Lloguer de maquinària i equips,71
181,714,Lloguer d'efectes personals i efectes domèstics,71
182,721,Consulta d'equips informàtics,72
183,722,Consulta d'aplicacions informàtiques i subministrament de programes informàtics,72
184,723,Processament de dades,72
185,724,Activitats relacionades amb bases de dades,72
186,725,Manteniment i reparació de màquines d'oficina, comptabilitat i equips informàtics,72
187,726,Altres activitats relacionades amb la informàtica,72
188,731,Recerca i desenvolupament sobre ciències naturals i tècniques,73
189,732,Recerca i desenvolupament sobre ciències socials i humanitats,73
190,741,Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública; consulta i assessorament sobre direcció i gestió empresarial, gestió de societats de cartera,74
191,742,Serveis tècnics d'arquitectura i enginyeria, i altres activitats relacionades amb l'assessorament tècnic,74
192,743,Assaigs i anàlisis tècnics,74
193,744,Publicitat,74
194,745,Selecció i col·locació de personal,74
195,746,Serveis d'investigació i de seguretat,74
196,747,Activitats industrials de neteja,74
197,748,Activitats empresarials diverses,74
198,751,Administració pública,75
199,752,Prestació pública de serveis a la comunitat en general,75
200,753,Seguretat Social obligatòria,75
201,801,Ensenyament primari,80
202,802,Ensenyament secundari,80
203,803,Ensenyament superior,80
204,804,Formació permanent i altres activitats d'ensenyament,80
205,851,Activitats sanitàries,85
206,852,Activitats veterinàries,85
207,853,Activitats de serveis socials,85
208,900,Activitats de sanejament públic,90
209,911,Activitats d'organitzacions empresarials, professionals i patronals,91
210,912,Activitats sindicals,91
211,913,Activitats associatives diverses,91
212,921,Activitats cinematogràfiques i de vídeo,92
213,922,Activitats de ràdio i televisió,92
214,923,Altres activitats artístiques i d'espectacles,92
215,924,Activitats d'agències de notícies,92
216,925,Activitats de biblioteques, arxius, museus i altres institucions culturals,92
217,926,Activitats esportives,92
218,927,Activitats recreatives diverses,92
219,930,Activitats diverses de serveis personals,93
220,950,Activitats de les llars que ocupen personal domèstic,95
221,960,Activitats de les llars que produeixen béns per a ús propi,96
222,970,Activitats de les llars que produeixen serveis per a ús propi,97
223,990,Organismes extraterritorials,99
