113,Disseny i Desenvolupament de Videojocs
114,Disseny i Desenvolupament de Videojocs (Campus Terrassa)
115,Disseny i Desenvolupament de Videojocs (docència en Anglès) (Campus Barcelona)
116,Disseny i Desenvolupament de Videojocs i Jocs Aplicats "ENTI"
117,Disseny i Innovació "ELISAVA"
118,Disseny i Producció de Videojocs "Tecnocampus"
119,Disseny i Producció de Videojocs / Enginyeria Informàtica de Gestió i Sistemes d'Informació "Tecnocampus" (simultaneïtat)
120,Dret
121,Dret "ESERP"
122,Dret / Administració i Direcció d'Empreses - Economia (agrupació de simultaneïtat)
123,Dret / Gestió i Administració Pública (simultaneïtat)
124,Dret / Relacions Internacionals (simultaneïtat)
125,Dret / Relacions Laborals (simultaneïtat)
126,Dret / Relacions Laborals i Recursos Humans (simultaneïtat)
127,Economia
128,Economia (docència en Anglès)
129,Economia / Estadística (simultaneïtat)
130,Economia / Filosofia (simultaneïtat)
131,Educació Infantil
132,Educació Infantil (Campus Manresa)
133,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (menció en Llengua Anglesa) (simultaneïtat)
134,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat)
135,Educació Primària
136,Educació Primària (docència en Anglès)
137,Educació Primària (modalitat Bilingüe)
138,Educació Primària (modalitat dual)
139,Educació Social
140,Empresa Innovació i Tecnologia "EUNCET" (Campus 22@) (presencial)
141,Empresa Innovació i Tecnologia "EUNCET" (Campus 22@) (semipresencial)
142,Empresa Innovació i Tecnologia "EUNCET" (Campus Terrassa) (presencial)
143,Empresa Innovació i Tecnologia "EUNCET" (Campus Terrassa) (semipresencial)
144,Empresa Innovació i Tecnologia / Màrqueting Innovació i Tecnologia "EUNCET" (Campus 22@) (presencial) (simultaneïtat)
145,Empresa Innovació i Tecnologia / Màrqueting Innovació i Tecnologia "EUNCET" (Campus Terrassa) (presencial) (simultaneïtat)
146,Empresa Internacional (docència en Anglès)
147,Empresa i Tecnologia
148,Enginyeria Agroalimentària
149,Enginyeria Agrària i Alimentària
150,Enginyeria Alimentària
151,Enginyeria Ambiental
152,Enginyeria Biomèdica
153,Enginyeria Biomèdica / Enginyeria de Sistemes i Serveis de Telecomunicacions (simultaneïtat)
154,Enginyeria Civil
155,Enginyeria Civil Grau en + Màster universitari en Enginyeria de Camins Canals i Ports (PARS: Enginyer/a de Camins Canals i Ports)
156,Enginyeria Electrònica Industrial i Automàtica
157,Enginyeria Electrònica Industrial i Automàtica "EU Salesiana de Sarrià"
158,Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica "EU Salesiana de Sarrià" (simultaneïtat)
159,Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química / Enginyeria de Recursos Minerals i el seu Reciclatge (agrupació)
160,Enginyeria Electrònica de Telecomunicació
161,Enginyeria Electrònica de Telecomunicació / Enginyeria Informàtica (simultaneïtat)
162,Enginyeria Elèctrica
163,Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica (simultaneïtat)
164,Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació)
165,Enginyeria Elèctrica i Sistemes Ferroviaris / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (Agrupació)
166,Enginyeria Forestal
167,Enginyeria Física
168,Enginyeria Informàtica
169,Enginyeria Informàtica / Matemàtiques (simultaneïtat)
170,Enginyeria Informàtica Grau en + Màster Universitari en Enginyeria Informàtica (PARS: Enginyer/a Informàtic/a)
171,Enginyeria Informàtica de Gestió i Sistemes d'Informació "Tecnocampus"
172,Enginyeria Matemàtica en Ciència de Dades
173,Enginyeria Matemàtica i Física
174,Enginyeria Mecatrònica
175,Enginyeria Mecànica
176,Enginyeria Mecànica "EU Salesiana de Sarrià"
177,Enginyeria Química
178,Enginyeria d'Automoció "EU Salesiana de Sarrià"
179,Enginyeria d'Automoció (Campus Manresa)
180,Enginyeria d'Organització Industrial / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica "Tecnocampus" (agrupació)
181,Enginyeria de Bioprocessos Alimentaris
182,Enginyeria de Ciències Agronòmiques
183,Enginyeria de Dades
184,Enginyeria de Disseny Industrial "ELISAVA"
185,Enginyeria de Disseny Industrial i Desenvolupament del Producte
186,Enginyeria de Materials
187,Enginyeria de Satèl·lits
188,Enginyeria de Sistemes Aeroespacials
189,Enginyeria de Sistemes Aeroespacials / Enginyeria de Sistemes de Telecomunicació - Enginyeria Telemàtica (agrupació de simultaneïtat)
190,Enginyeria de Sistemes Audiovisuals
191,Enginyeria de Sistemes Biològics
