136,Enginyeria de Sistemes de Telecomunicació / Enginyeria Electrònica de Telecomunicació (agrupació)
137,Enginyeria de Sistemes de Telecomunicació / Enginyeria Informàtica
138,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica
139,Enginyeria de Sistemes i Serveis de Telecomunicacions
140,Enginyeria de Sistemes TIC
141,Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació)
142,Enginyeria de Tecnologies i Serveis de Telecomunicació
143,Enginyeria de Tecnologies i Serveis de Telecomunicació Grau en + Màster Universitari en Enginyeria de Telecomunicació
144,Enginyeria de Xarxes de Telecomunicació
145,Enginyeria d'Organització Industrial / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació)
146,Enginyeria Elèctrica
147,Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica
148,Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació)
149,Enginyeria Elèctrica i Sistemes Ferroviaris / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (Agrupació)
150,Enginyeria Electrònica de Telecomunicació
151,Enginyeria Electrònica de Telecomunicació / Enginyeria Informàtica
152,Enginyeria Electrònica Industrial i Automàtica
153,Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica
154,Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química / Enginyeria de Recursos Minerals i el seu Reciclatge (agrupació)
155,Enginyeria en Energies Renovables i Eficiència Energètica
156,Enginyeria en Geoinformació i Geomàtica
157,Enginyeria en Informàtica
158,Enginyeria en Organització Industrial
159,Enginyeria en Organització Industrial i Logística / Enginyeria Química (agrupació)
160,Enginyeria en Sistemes Audiovisuals
161,Enginyeria en Sistemes i Tecnologia Naval
162,Enginyeria en Tecnologies Aeroespacials Grau en + Màster Universitari en Enginyeria Aeronàutica
163,Enginyeria en Tecnologies Industrials
164,Enginyeria en Tecnologies Industrials Grau en + Màster Universitari en Enginyeria Industrial
165,Enginyeria en Vehicles Aeroespacials
166,Enginyeria Física
167,Enginyeria Forestal
168,Enginyeria Informàtica
169,Enginyeria Informàtica / Matemàtiques
170,Enginyeria Informàtica de Gestió i Sistemes d'Informació
171,Enginyeria Informàtica Grau en + Màster Universitari en Enginyeria Informàtica
172,Enginyeria Matemàtica en Ciència de Dades
173,Enginyeria Matemàtica i Física
174,Enginyeria Mecànica
175,Enginyeria Mecatrònica
176,Enginyeria Química
177,Enologia
178,Estadística
179,Estadística Aplicada
180,Estadística Aplicada / Sociologia
181,Estudis Anglesos
182,Estudis Anglesos / Llengües Aplicades i Traducció
183,Estudis Àrabs i Hebreus
184,Estudis d'Anglès i Català
185,Estudis d'Anglès i de Clàssiques
186,Estudis d'Anglès i Espanyol
187,Estudis d'Anglès i Francès
188,Estudis d'Àsia Oriental -Japonès-
189,Estudis d'Àsia Oriental -Xinès-
190,Estudis de Català i Espanyol
191,Estudis d'Espanyol i Xinès: Llengua Literatura i Cultura
192,Estudis Globals
193,Estudis Globals / Global Studies (docència en Anglès) / Turisme
194,Estudis Internacionals d'Economia i Empresa - International Business Economics (docència en Anglès)
195,Estudis Literaris
196,Estudis Socioculturals de Gènere
197,Farmàcia
198,Farmàcia / Nutrició Humana i Dietètica
199,Filologia Catalana
200,Filologia Catalana / Filologia Hispànica
201,Filologia Catalana i Estudis Occitans
202,Filologia Catalana i Estudis Occitans / Llengües Aplicades i Traducció
203,Filologia Catalana: Estudis de Literatura i Lingüística
204,Filologia Clàssica
205,Filologia Hispànica
206,Filologia Hispànica / Llengües Aplicades i Traducció
207,Filosofia
208,Filosofia Política i Economia
209,Finances i Comptabilitat
210,Física
211,Física / Matemàtiques
212,Física / Química
213,Fisioteràpia
214,Fisioteràpia / Infermeria
215,Fisioteràpia / Nutrició Humana i Dietètica
216,Genètica
217,Geografia
218,Geografia Anàlisi Territorial i Sostenibilitat
219,Geografia i Canvi Global
220,Geografia Medi Ambient i Planificació Territorial
221,Geografia Territori i Medi Ambient
222,Geologia
223,Gestió Aeronàutica
224,Gestió de Ciutats Intel·ligents i Sostenibles
225,Gestió de la Societat Digital
226,Gestió d'Informació i Documentació Digital
227,Gestió en Turisme i Hoteleria
228,Gestió Hotelera i Turística
229,Gestió i Administració Pública
230,Grau Obert Programa de (agrupació)
231,Història
232,Història / Història de l'Art
233,Història de l'Art
234,Història de l'Art i Arqueologia
235,Història de l'Art i Gestió del Patrimoni Artístic
236,Història Política i Economia Contemporànies
237,Humanitats
238,Infermeria
239,Informàtica i Serveis
240,Innovació i Seguretat Alimentària
241,Intel·ligència Artificial
242,Lingüística
243,Llengua i Literatura Catalanes
244,Llengua i Literatura Espanyoles
245,Llengua i Literatura Hispàniques
246,Llengües Aplicades
247,Llengües Aplicades / Traducció i Interpretació -Anglès-
248,Llengües i Literatures Modernes
249,Llengües Romàniques i les seves Literatures
250,Logística Empresarial
251,Logística i Negocis Marítims
252,Logopèdia
253,Màrqueting
254,Màrqueting
255,Màrqueting i Comunicació Digital
256,Màrqueting i Comunicació Empresarial
257,Màrqueting i Comunitats Digitals
258,Màrqueting i Comunitats Digitals / Turisme i Gestió del Lleure
259,Màrqueting Innovació i Tecnologia
260,Matemàtica Computacional i Analítica de Dades
261,Matemàtiques
262,Medicina
263,Microbiologia
264,Mitjans Audiovisuals
265,Moda
266,Multimèdia. Aplicacions i Videojocs
267,Musicologia
268,Nanociència i Nanotecnologia
269,Nàutica i Transport Marítim
270,Negoci Digital i Innovació en Turisme
271,Negoci Digital i Innovació en Turisme / Turisme
272,Negocis i Màrqueting Internacionals
273,Nom de l’Oferta
274,Nutrició Humana i Dietètica
275,Odontologia
276,Òptica i Optometria
277,Paisatgisme
278,Pedagogia
279,Periodisme
280,Pilot d'Aviació Comercial i Operacions Aèries
281,Podologia
282,Prevenció i Seguretat Integral
283,Producció de Música i So per a la Indústria de l'Entreteniment
284,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Administració d'Empreses
285,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Anglès
286,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Biologia
287,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Biologia - Geologia
288,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Dibuix
289,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Economia
