"Codi","Nom","Codi comarca"
"250523","Bellvís","27"
"431055","Piles, les","16"
"170675","Flaçà","20"
"171899","Cellera de Ter, la","34"
"081939","Sant Iscle de Vallalta","21"
"170062","Alp","15"
"251713","Pobla de Segur, la","25"
"172348","Biure","02"
"081347","Figaró-Montmany","41"
"082286","Sant Martí Sesgueioles","06"
"172076","Vall d'en Bas, la","19"
"430607","Flix","30"
"170195","Besalú","19"
"431191","Puigpelat","01"
"081430","Òdena","06"
"171997","Torroella de Montgrí","10"
"259123","Gimenells i el Pla de la Font","33"
"171735","Sant Martí Vell","20"
"170904","Llambilles","20"
"252271","Torre de Cabdella, la","25"
"250772","Coll de Nargó","04"
"082172","Sant Joan Despí","11"
"082251","Sant Martí d'Albars","43"
"080945","Granada, la","03"
"252094","Sort","26"
"430733","Llorac","16"
"170084","Anglès","34"
