"Codi","Nom","Codi comarca"
"430249","Bellvei","12"
"171864","Sarrià de Ter","20"
"081825","Pont de Vilomara i Rocafort, el","07"
"082457","Santa Coloma de Gramenet","13"
"080961","Granollers","41"
"080018","Abrera","11"
"252332","Torre-serona","33"
"430831","Milà, el","01"
"083073","Vilanova i la Geltrú","17"
"080403","Canet de Mar","21"
"252192","Tarroja de Segarra","32"
"251484","Odèn","35"
"082476","Santa Eulàlia de Riuprimer","24"
"251207","Lleida","33"
"081688","Pontons","03"
"170293","Boadella i les Escaules","02"
"170388","Campllong","20"
"081496","Olost","43"
"170412","Cantallops","02"
"081136","Manresa","07"
"250886","Estamariu","04"
"080713","Copons","06"
"081691","Prat de Llobregat, el","11"
"082802","Tavertet","24"
"170545","Colera","02"
"252537","Vilosell, el","18"
"259025","Sant Martí de Riucorb","38"
"081995","Sant Bartomeu del Grau","24"
"080885","Garriga, la","41"
"250404","Balaguer","23"
"250220","Alòs de Balaguer","23"
"250788","Corbins","33"
"259139","Riu de Cerdanya","15"
"250215","Almenar","33"
"250077","Albatàrrec","33"
"082922","Vallbona d'Anoia","06"
"082055","Sant Cugat del Vallès","40"
"430799","Masllorenç","12"
"171061","Mollet de Peralada","02"
"081884","Sagàs","14"
"252445","Vilagrassa","38"
"170353","Camós","28"
"080399","Campins","41"
"082589","Santa Maria d'Oló","42"
"431129","Poboleda","29"
"089045","Badia del Vallès","40"
"082567","Santa Maria de Martorelles","41"
"430213","Barberà de la Conca","16"
"251945","Sant Ramon","32"
"251403","Montferrer i Castellbò","04"
"170767","Garrigoles","10"
"080879","Gallifa","40"
"080253","Bruc, el","06"
"430477","Constantí","36"
"089058","Palma de Cervelló, la","11"
"171693","Sant Julià de Ramis","20"
"171175","Palafrugell","10"
"250714","Cava","04"
"170963","Llosses, les","31"
"171766","Sant Mori","02"
"082732","Subirats","03"
"250169","Alguaire","33"
"082798","Terrassa","40"
"430593","Figuerola del Camp","01"
"171100","Mont-ras","10"
"171886","Selva de Mar, la","02"
"430509","Creixell","36"
"080291","Cabrera de Mar","21"
"170144","Vajol, la","02"
"430995","Palma d'Ebre, la","30"
"170754","Garrigàs","02"
"430252","Benifallet","09"
"082270","Sant Martí Sarroca","03"
"171267","Parlavà","10"
"250680","Castellnou de Seana","27"
"250426","Baronia de Rialb, la","23"
"170926","Llançà","02"
"170617","Das","15"
"252022","Senterada","25"
"082093","Sant Fost de Campsentelles","41"
"170280","Brunyola i Sant Martí Sapresa","34"
"251312","Massalcoreig","33"
"431649","Vespella de Gaià","36"
"080023","Aguilar de Segarra","07"
"082460","Santa Eugènia de Berga","24"
"171557","Salt","20"
"251804","Puiggròs","18"
"081859","Rubió","06"
"080924","Gironella","14"
"251240","Lladurs","35"
"430141","Amposta","22"
"171387","Portbou","02"
"431460","Senan","16"
"080057","Ametlla del Vallès, l'","41"
"081727","Premià de Mar","21"
"250328","Arsèguel","04"
"080977","Gualba","41"
"081976","Sant Andreu de Llavaneres","21"
"170979","Madremanya","20"
"251229","Linyola","27"
"080478","Cardona","07"
"430496","Cornudella de Montsant","29"
"081555","Palafolls","21"
"081173","Masies de Voltregà, les","24"
"251462","Navès","35"
"431779","Vinebre","30"
"430304","Bonastre","12"
"171668","Sant Jordi Desvalls","20"
"439057","Salou","36"
"251689","Poal, el","27"
"170182","Bellcaire d'Empordà","10"
"431476","Solivella","16"
"080168","Bagà","14"
"430350","Cabacés","29"
"252516","Vilanova de Segrià","33"
"430347","Bràfim","01"
"431325","Rodonyà","01"
"250576","Bòrdes, Es","39"
"259059","Ribera d'Ondara","32"
"089019","Rupit i Pruit","24"
"430458","Colldejou","08"
"171523","Roses","02"
"080305","Cabrils","21"
"082021","Sant Celoni","41"
"172044","Ullà","10"
"252038","Seu d'Urgell, la","04"
"082423","Marganell","07"
"080431","Canyelles","17"
"430332","Botarell","08"
"250539","Benavent de Segrià","33"
"170366","Campdevànol","31"
"250557","Biosca","35"
"250208","Almatret","33"
"082896","Torrelles de Llobregat","11"
"251832","Rialp","26"
"252213","Tírvia","26"
"252555","Vinaixa","18"
"430939","Móra d'Ebre","30"
"250707","Castellserà","38"
"082074","Sant Esteve de Palautordera","41"
"259118","Plans de Sió, els","32"
"250498","Bellmunt d'Urgell","23"
"250925","Floresta, la","18"
"250463","Belianes","38"
"082233","Sant Llorenç Savall","40"
"250083","Albesa","23"
"082726","Sora","24"
"430075","Aleixar, l'","08"
"171827","Santa Llogaia d'Àlguema","02"
"170123","Avinyonet de Puigventós","02"
"081918","Sallent","07"
"082711","Sobremunt","43"
"081094","Lluçà","43"
"430537","Duesaigües","08"
"251272","Lles de Cerdanya","15"
"080116","Avià","14"
"250143","Alfés","33"
"439044","Aldea, l'","09"
"082346","Sant Pere de Vilamajor","41"
"430803","Masó, la","01"
"252081","Soriguera","26"
"430290","Blancafort","16"
"252189","Tarrés","18"
"171637","Sant Gregori","20"
"081666","Pobla de Lillet, la","14"
"259046","Castell de Mur","25"
"082418","Sant Sadurní d'Osormort","24"
"430705","Guiamets, els","29"
"082943","Vallgorguina","41"
"081287","Monistrol de Calders","42"
"080996","Guardiola de Berguedà","14"
"080484","Carme","06"
"179032","Sant Julià del Llor i Bonmatí","34"
"170741","Fortià","02"
"170274","Breda","34"
"251581","Palau d'Anglesola, el","27"
"431042","Perelló, el","09"
"431135","Pont d'Armentera, el","01"
"250447","Bassella","04"
"083089","Viver i Serrateix","14"
"172057","Ullastret","10"
"170237","Blanes","34"
"082750","Tavèrnoles","24"
"082310","Sant Pere de Ribes","17"
"082747","Súria","07"
"081056","Llagosta, la","41"
"252120","Sunyer","33"
"171616","Sant Feliu de Pallerols","19"
"081115","Malla","24"
"431080","Pla de Santa Maria, el","01"
"251790","Prullans","15"
"431536","Torredembarra","36"
"251327","Massoteres","32"
"081786","Rajadell","07"
"081568","Palau-solità i Plegamans","40"
"252167","Talavera","32"
"080615","Castellgalí","07"
"430136","Ametlla de Mar, l'","09"
"250946","Foradada","23"
"251155","Isona i Conca Dellà","25"
"431227","Renau","36"
"081154","Martorelles","41"
"082634","Sant Vicenç dels Horts","11"
"080459","Capolat","14"
"080728","Corbera de Llobregat","11"
"172272","Vilamaniscle","02"
"431573","Ulldemolins","29"
"170405","Canet d'Adri","20"
"430688","Godall","22"
"081000","Gurb","24"
"430173","Argentera, l'","08"
"431520","Torre de l'Espanyol, la","30"
"252108","Soses","33"
"171848","Santa Pau","19"
"430385","Cambrils","08"
"081213","Mataró","21"
"252265","Torrebesses","33"
"250616","Cabó","04"
"430108","Alió","01"
"430982","Nulles","01"
"170372","Campelles","31"
"081712","Prats de Lluçanès","43"
"439018","Deltebre","09"
"081192","Masquefa","06"
"430862","Montblanc","16"
"082779","Talamanca","07"
"251235","Lladorre","26"
"171655","Sant Jaume de Llierca","19"
"252542","Vilanova de la Barca","33"
"171334","Planes d'Hostoles, les","19"
"170561","Cornellà del Terri","28"
"081419","Navàs","07"
"251370","Mollerussa","27"
"081705","Prats de Rei, els","06"
"431299","Riudoms","08"
"430363","Cabra del Camp","01"
"430081","Alfara de Carles","09"
"170391","Camprodon","31"
"170519","Cistella","02"
"081799","Rellinars","40"
"081350","Montmeló","41"
"081271","Monistrol de Montserrat","07"
"171946","Susqueda","34"
"252347","Tremp","25"
"080180","Balsareny","07"
"430825","Masroig, el","29"
"171156","Ordis","02"
"082628","Sant Vicenç de Castellet","07"
"250962","Fuliola, la","38"
"251431","Montornès de Segarra","32"
"250766","Cogul, el","18"
"172095","Vall-llobrega","10"
"171432","Rabós","02"
"251288","Llimiana","25"
"080500","Castellar del Riu","14"
"080569","Castelldefels","11"
"082325","Sant Pere de Riudebitlles","03"
"252304","Torregrossa","27"
"431444","Secuita, la","36"
"431251","Riba-roja d'Ebre","30"
"082068","Sant Cugat Sesgarrigues","03"
"082900","Ullastrell","40"
"250045","Alamús, els","33"
"430691","Gratallops","29"
"250735","Cervià de les Garrigues","18"
"430461","Conesa","16"
"251459","Nalec","38"
"431508","Tivissa","30"
"171582","Sant Climent Sescebes","02"
"251771","Preixens","23"
"082819","Teià","21"
"082482","Santa Eulàlia de Ronçana","41"
"080214","Bellprat","06"
"081402","Navarcles","07"
"170887","Lladó","02"
"081846","Rubí","40"
"171910","Serra de Daró","10"
"080771","Esplugues de Llobregat","11"
"170558","Colomers","10"
"431166","Prades","08"
"081516","Oristà","43"
"431418","Pontils","16"
"171096","Montagut i Oix","19"
"171426","Quart","20"
"171959","Tallada d'Empordà, la","10"
"252398","Valls de Valira, les","04"
"431153","Pradell de la Teixeta","29"
"081445","Olvan","14"
"082613","Santa Susanna","21"
"170773","Garriguella","02"
"172180","Vilademuls","28"
"431205","Querol","01"
"431068","Pinell de Brai, el","37"
"431634","Vendrell, el","12"
"080575","Castell de l'Areny","14"
"170656","Esponellà","28"
"252326","Torres de Segre","33"
"081249","Mollet del Vallès","41"
"082248","Sant Martí de Centelles","24"
"430115","Almoster","08"
"430326","Bot","37"
"080082","Argençola","06"
"170078","Amer","34"
"252017","Sarroca de Bellera","25"
"083041","Vilobí del Penedès","03"
"252228","Tiurana","23"
"252496","Vilanova de l'Aguda","23"
"439060","Ampolla, l'","09"
"083036","Vilanova de Sau","24"
"250621","Camarasa","23"
"250122","Alcoletge","33"
"250931","Fondarella","27"
"083008","Viladecavalls","40"
"251706","Bellaguarda","18"
"082331","Sant Pere de Torelló","24"
"082009","Sant Boi de Llobregat","11"
"431074","Pira","16"
"172235","Vilajuïga","02"
"431711","Vila-seca","36"
"081424","Nou de Berguedà, la","14"
"171518","Riumors","02"
"170806","Gombrèn","31"
"251137","Ivars d'Urgell","27"
"999999","Altres/Diversos","99"
"080462","Cardedeu","41"
"172305","Vila-sacra","02"
"430424","Castellvell del Camp","08"
"082554","Santa Maria de Merlès","14"
"080370","Calldetenes","24"
"250791","Cubells","23"
"081944","Sant Adrià de Besòs","13"
"251924","Sant Guim de Freixenet","32"
"252069","Soleràs, el","18"
"172023","Tossa de Mar","34"
"172109","Ventalló","02"
"252173","Tàrrega","38"
"171019","Massanes","34"
"081141","Martorell","11"
"171753","Sant Miquel de Fluvià","02"
"250371","Avellanes i Santa Linya, les","23"
"081363","Montornès del Vallès","41"
"082135","Sant Fruitós de Bages","07"
"082205","Sant Julià de Vilatorta","24"
"251023","Granja d'Escarp, la","33"
"251039","Granyanella","32"
"082877","Torrelavit","03"
"082917","Vacarisses","40"
"431359","Salomó","36"
"170694","Fontanals de Cerdanya","15"
"171365","Pontós","02"
"250812","Espluga Calba, l'","18"
"250387","Aitona","33"
"171851","Sant Joan les Fonts","19"
"080919","Gelida","03"
"252521","Vila-sana","27"
"080608","Castellfollit de Riubregós","06"
"171143","Olot","19"
"430957","Morell, el","36"
"170708","Fontanilles","10"
"431747","Vilella Baixa, la","29"
"170789","Ger","15"
"251749","Portella, la","33"
"250390","Baix Pallars","26"
"251538","Omellons, els","18"
"170865","Jonquera, la","02"
"170715","Fontcoberta","28"
"081326","Montmajor","14"
"171390","Preses, les","19"
"080193","Barcelona","13"
"080333","Caldes de Montbui","41"
"081311","Montesquiu","24"
"082956","Vallirana","11"
"082592","Santa Maria de Palautordera","41"
"430748","Llorenç del Penedès","12"
"081509","Orís","24"
"080266","Brull, el","24"
"080804","Fígols","14"
"081635","Pineda de Mar","21"
"251543","Omells de na Gaia, els","38"
"439076","Canonja, la","36"
"082652","Sant Vicenç de Torelló","24"
"430043","Alcanar","22"
"082785","Taradell","24"
"430516","Cunit","12"
"080752","Dosrius","21"
"179011","Cruïlles, Monells i Sant Sadurní de l'Heura","10"
"171978","Torrent","10"
"170160","Bàscara","02"
"171870","Saus, Camallera i Llampaies","02"
"082401","Sant Sadurní d'Anoia","03"
"170448","Cassà de la Selva","20"
"171498","Riudaura","19"
"080235","Bigues i Riells del Fai","41"
"250030","Agramunt","38"
"250024","Àger","23"
"430897","Montferri","01"
"431212","Rasquera","30"
"080636","Castellolí","06"
"172137","Vidreres","34"
"430859","Molar, el","29"
"251902","Salàs de Pallars","25"
"082188","Sant Joan de Vilatorrada","07"
"251615","Conca de Dalt","25"
"080327","Caldes d'Estrac","21"
"431140","Porrera","29"
"170622","Escala, l'","02"
"251641","Penelles","23"
"251333","Maials","33"
"252311","Torrelameu","23"
"251018","Granadella, la","18"
"259078","Torrefeta i Florejacs","32"
"081923","Santpedor","07"
"171241","Pals","10"
"080581","Castellet i la Gornal","03"
"251728","Ponts","23"
"250609","Cabanabona","23"
"250450","Bausen","39"
"082858","Torelló","24"
"250582","Borges Blanques, les","18"
"171485","Riudarenes","34"
"430666","Garidells, els","01"
"251142","Ivorra","32"
"170998","Meranges","15"
"430629","Freginals","22"
"439023","Sant Jaume d'Enveja","22"
"251517","Olius","35"
"080174","Balenyà","24"
"251386","Montgai","23"
"080039","Alella","21"
"430712","Horta de Sant Joan","37"
"081537","Òrrius","21"
"080902","Gaià","07"
"082883","Torrelles de Foix","03"
"170486","Castell d'Aro, Platja d'Aro i s'Agaró","10"
"081483","Olivella","17"
"083020","Vilanova del Camí","06"
"080667","Castellví de Rosanes","11"
"081477","Olesa de Montserrat","11"
"171122","Ogassa","31"
"170335","Caldes de Malavella","34"
"081398","Mura","07"
"259101","Josa i Tuixén","04"
"081038","Jorba","06"
"250117","Alcarràs","33"
"430764","Marçà","29"
"170046","Albons","10"
"082938","Vallcebre","14"
"170097","Arbúcies","34"
"431310","Roda de Berà","36"
"170890","Llagostera","20"
"081252","Montcada i Reixac","40"
"080312","Calaf","06"
"430234","Bellmunt del Priorat","29"
"430379","Calafell","12"
"252509","Vilanova de Meià","23"
"250096","Albi, l'","18"
"171292","Pedret i Marzà","02"
"430265","Benissanet","30"
"082042","Sant Climent de Llobregat","11"
"170577","Corçà","10"
"431331","Roquetes","09"
"252458","Vilaller","05"
"431554","Tortosa","09"
"080641","Castellterçol","42"
"171812","Santa Cristina d'Aro","10"
"251410","Montoliu de Segarra","32"
"082016","Sant Boi de Lluçanès","24"
"250194","Almacelles","33"
"081017","Hospitalet de Llobregat, l'","13"
"082140","Vilassar de Dalt","21"
"171609","Sant Feliu de Guíxols","10"
"250349","Artesa de Segre","23"
"080673","Centelles","24"
"081234","Molins de Rei","11"
"171740","Sant Miquel de Campmajor","28"
"082520","Barberà del Vallès","40"
"082981","Vic","24"
"251116","Guixers","35"
"172288","Vilanant","02"
"252000","Sarroca de Lleida","33"
"171707","Vallfogona de Ripollès","31"
"170681","Foixà","10"
"250997","Golmés","27"
"082191","Vilassar de Mar","21"
"082212","Sant Just Desvern","11"
"250365","Aspa","33"
"251095","Guimerà","38"
"080787","Espunyola, l'","14"
"431397","Santa Coloma de Queralt","16"
"431346","Rourell, el","01"
"430672","Ginestar","30"
"080076","Arenys de Munt","21"
"252483","Vilanova de Bellpuig","27"
"081640","Pla del Penedès, el","03"
"081458","Olèrdola","03"
"171463","Riells i Viabrea","34"
"252430","Vielha e Mijaran","39"
"080410","Canovelles","41"
"081120","Manlleu","24"
"082080","Sant Esteve Sesrovires","11"
"172060","Urús","15"
"081878","Sabadell","40"
"082671","Sentmenat","40"
"081228","Mediona","03"
"170340","Calonge i Sant Antoni","10"
"170499","Celrà","20"
"250642","Castellar de la Ribera","35"
"250479","Bellcaire d'Urgell","23"
"080044","Alpens","43"
"252477","Vilamòs","39"
"431482","Tarragona","36"
"250595","Bossòst","39"
"089030","Sant Julià de Cerdanyola","14"
"080983","Sant Salvador de Guardiola","07"
"250313","Arres","39"
"250864","Esterri d'Àneu","26"
"081385","Moià","42"
"170669","Figueres","02"
"431687","Vilanova de Prades","16"
"170010","Agullana","02"
"430228","Batea","37"
"081521","Orpí","06"
"250306","Pont de Bar, el","04"
"252043","Seròs","33"
"252252","Tornabous","38"
"251673","Pinós","35"
"080386","Callús","07"
"081672","Polinyà","40"
"081081","Lliçà de Vall","41"
"170470","Castelló d'Empúries","02"
"082824","Tiana","21"
"081982","Sant Antoni de Vilamajor","41"
"080850","Font-rubí","03"
"430786","Masdenverge","22"
"251364","Molsosa, la","35"
